date,state,cases
01/21/2020,Washington,1
01/22/2020,Washington,1
01/23/2020,Washington,1
01/24/2020,Illinois,1
01/24/2020,Washington,1
01/25/2020,California,1
01/25/2020,Illinois,1
01/25/2020,Washington,1
01/26/2020,Arizona,1
01/26/2020,California,2
01/26/2020,Illinois,1
01/26/2020,Washington,1
01/27/2020,Arizona,1
01/27/2020,California,2
01/27/2020,Illinois,1
01/27/2020,Washington,1
01/28/2020,Arizona,1
01/28/2020,California,2
01/28/2020,Illinois,1
01/28/2020,Washington,1
01/29/2020,Arizona,1
01/29/2020,California,2
01/29/2020,Illinois,1
01/29/2020,Washington,1
01/30/2020,Arizona,1
01/30/2020,California,2
01/30/2020,Illinois,2
01/30/2020,Washington,1
01/31/2020,Arizona,1
01/31/2020,California,3
01/31/2020,Illinois,2
01/31/2020,Washington,1
02/01/2020,Arizona,1
02/01/2020,California,3
02/01/2020,Illinois,2
02/01/2020,Massachusetts,1
02/01/2020,Washington,1
02/02/2020,Arizona,1
02/02/2020,California,6
02/02/2020,Illinois,2
02/02/2020,Massachusetts,1
02/02/2020,Washington,1
02/03/2020,Arizona,1
02/03/2020,California,6
02/03/2020,Illinois,2
02/03/2020,Massachusetts,1
02/03/2020,Washington,1
02/04/2020,Arizona,1
02/04/2020,California,6
02/04/2020,Illinois,2
02/04/2020,Massachusetts,1
02/04/2020,Washington,1
02/05/2020,Arizona,1
02/05/2020,California,6
02/05/2020,Illinois,2
02/05/2020,Massachusetts,1
02/05/2020,Washington,1
02/05/2020,Wisconsin,1
02/06/2020,Arizona,1
02/06/2020,California,6
02/06/2020,Illinois,2
02/06/2020,Massachusetts,1
02/06/2020,Washington,1
02/06/2020,Wisconsin,1
02/07/2020,Arizona,1
02/07/2020,California,6
02/07/2020,Illinois,2
02/07/2020,Massachusetts,1
02/07/2020,Washington,1
02/07/2020,Wisconsin,1
02/08/2020,Arizona,1
02/08/2020,California,6
02/08/2020,Illinois,2
02/08/2020,Massachusetts,1
02/08/2020,Washington,1
02/08/2020,Wisconsin,1
02/09/2020,Arizona,1
02/09/2020,California,6
02/09/2020,Illinois,2
02/09/2020,Massachusetts,1
02/09/2020,Washington,1
02/09/2020,Wisconsin,1
02/10/2020,Arizona,1
02/10/2020,California,7
02/10/2020,Illinois,2
02/10/2020,Massachusetts,1
02/10/2020,Washington,1
02/10/2020,Wisconsin,1
02/11/2020,Arizona,1
02/11/2020,California,7
02/11/2020,Illinois,2
02/11/2020,Massachusetts,1
02/11/2020,Washington,1
02/11/2020,Wisconsin,1
02/12/2020,Arizona,1
02/12/2020,California,7
02/12/2020,Illinois,2
02/12/2020,Massachusetts,1
02/12/2020,Texas,1
02/12/2020,Washington,1
02/12/2020,Wisconsin,1
02/13/2020,Arizona,1
02/13/2020,California,7
02/13/2020,Illinois,2
02/13/2020,Massachusetts,1
02/13/2020,Texas,2
02/13/2020,Washington,1
02/13/2020,Wisconsin,1
02/14/2020,Arizona,1
02/14/2020,California,7
02/14/2020,Illinois,2
02/14/2020,Massachusetts,1
02/14/2020,Texas,2
02/14/2020,Washington,1
02/14/2020,Wisconsin,1
02/15/2020,Arizona,1
02/15/2020,California,7
02/15/2020,Illinois,2
02/15/2020,Massachusetts,1
02/15/2020,Texas,2
02/15/2020,Washington,1
02/15/2020,Wisconsin,1
02/16/2020,Arizona,1
02/16/2020,California,7
02/16/2020,Illinois,2
02/16/2020,Massachusetts,1
02/16/2020,Texas,2
02/16/2020,Washington,1
02/16/2020,Wisconsin,1
02/17/2020,Arizona,1
02/17/2020,California,7
02/17/2020,Illinois,2
02/17/2020,Massachusetts,1
02/17/2020,Nebraska,10
02/17/2020,Texas,2
02/17/2020,Washington,1
02/17/2020,Wisconsin,1
02/18/2020,Arizona,1
02/18/2020,California,7
02/18/2020,Illinois,2
02/18/2020,Massachusetts,1
02/18/2020,Nebraska,10
02/18/2020,Texas,2
02/18/2020,Washington,1
02/18/2020,Wisconsin,1
02/19/2020,Arizona,1
02/19/2020,California,7
02/19/2020,Illinois,2
02/19/2020,Massachusetts,1
02/19/2020,Nebraska,10
02/19/2020,Texas,2
02/19/2020,Washington,1
02/19/2020,Wisconsin,1
02/20/2020,Arizona,1
02/20/2020,California,8
02/20/2020,Illinois,2
02/20/2020,Massachusetts,1
02/20/2020,Nebraska,11
02/20/2020,Texas,2
02/20/2020,Washington,1
02/20/2020,Wisconsin,1
02/21/2020,Arizona,1
02/21/2020,California,9
02/21/2020,Illinois,2
02/21/2020,Massachusetts,1
02/21/2020,Nebraska,11
02/21/2020,Texas,4
02/21/2020,Washington,1
02/21/2020,Wisconsin,1
02/22/2020,Arizona,1
02/22/2020,California,9
02/22/2020,Illinois,2
02/22/2020,Massachusetts,1
02/22/2020,Nebraska,11
02/22/2020,Texas,4
02/22/2020,Washington,1
02/22/2020,Wisconsin,1
02/23/2020,Arizona,1
02/23/2020,California,9
02/23/2020,Illinois,2
02/23/2020,Massachusetts,1
02/23/2020,Nebraska,11
02/23/2020,Texas,4
02/23/2020,Washington,1
02/23/2020,Wisconsin,1
02/24/2020,Arizona,1
02/24/2020,California,11
02/24/2020,Illinois,2
02/24/2020,Massachusetts,1
02/24/2020,Nebraska,12
02/24/2020,Texas,10
02/24/2020,Washington,5
02/24/2020,Wisconsin,1
02/25/2020,Arizona,1
02/25/2020,California,11
02/25/2020,Illinois,2
02/25/2020,Massachusetts,1
02/25/2020,Nebraska,13
02/25/2020,Texas,10
02/25/2020,Utah,1
02/25/2020,Washington,5
02/25/2020,Wisconsin,1
02/26/2020,Arizona,1
02/26/2020,California,26
02/26/2020,Illinois,2
02/26/2020,Massachusetts,1
02/26/2020,Nebraska,13
02/26/2020,Texas,10
02/26/2020,Utah,1
02/26/2020,Washington,5
02/26/2020,Wisconsin,1
02/27/2020,Arizona,1
02/27/2020,California,26
02/27/2020,Illinois,2
02/27/2020,Massachusetts,1
02/27/2020,Nebraska,13
02/27/2020,Texas,10
02/27/2020,Utah,1
02/27/2020,Washington,5
02/27/2020,Wisconsin,1
02/28/2020,Arizona,1
02/28/2020,California,27
02/28/2020,Illinois,2
02/28/2020,Massachusetts,1
02/28/2020,Nebraska,13
02/28/2020,Oregon,1
02/28/2020,Texas,11
02/28/2020,Utah,1
02/28/2020,Washington,7
02/28/2020,Wisconsin,1
02/29/2020,Arizona,1
02/29/2020,California,28
02/29/2020,Illinois,3
02/29/2020,Massachusetts,1
02/29/2020,Nebraska,13
02/29/2020,Oregon,1
02/29/2020,Texas,11
02/29/2020,Utah,1
02/29/2020,Washington,10
02/29/2020,Wisconsin,1
03/01/2020,Arizona,1
03/01/2020,California,33
03/01/2020,Florida,2
03/01/2020,Illinois,3
03/01/2020,Massachusetts,1
03/01/2020,Nebraska,13
03/01/2020,New York,1
03/01/2020,Oregon,2
03/01/2020,Rhode Island,2
03/01/2020,Texas,11
03/01/2020,Utah,1
03/01/2020,Washington,17
03/01/2020,Wisconsin,1
03/02/2020,Arizona,1
03/02/2020,California,38
03/02/2020,Florida,2
03/02/2020,Georgia,2
03/02/2020,Illinois,4
03/02/2020,Massachusetts,2
03/02/2020,Nebraska,13
03/02/2020,New Hampshire,1
03/02/2020,New York,1
03/02/2020,Oregon,2
03/02/2020,Rhode Island,2
03/02/2020,Texas,11
03/02/2020,Utah,1
03/02/2020,Washington,23
03/02/2020,Wisconsin,1
03/03/2020,Arizona,2
03/03/2020,California,45
03/03/2020,Florida,3
03/03/2020,Georgia,2
03/03/2020,Illinois,4
